customer_id,first_name,last_name,gender,date_of_birth,city,state,employment_type,monthly_income,signup_date,loan_id,loan_amount,interest_rate,tenure_months,loan_status,disbursement_date,repayment_id,due_date,payment_date,amount_paid,repayment_status,income_segment,high_risk_flag,large_loan_flag,missed_payment_flag
1,Larry,Keith,Female,1987-12-15,East Megan,Illinois,Freelancer,62011.0,2024-10-31,3529,421688.0,12.82,48,Active,2024-07-03,17025,2026-03-11,2025-05-16,3758.49,On-Time,Middle income,0,0,0
1,Larry,Keith,Female,1987-12-15,East Megan,Illinois,Freelancer,62011.0,2024-10-31,3529,421688.0,12.82,48,Active,2024-07-03,18936,2025-09-04,2025-08-16,9007.61,Late,Middle income,0,0,0
1,Larry,Keith,Female,1987-12-15,East Megan,Illinois,Freelancer,62011.0,2024-10-31,6550,826810.0,11.07,24,Closed,2026-04-08,13245,2026-04-29,2026-04-12,38096.19,On-Time,Middle income,0,1,0
3,Nancy,Peters,Female,1972-04-02,Jessicamouth,Tennessee,Self-Employed,150282.0,2025-04-10,618,574604.0,23.32,48,Default,2024-10-28,1962,2026-02-15,2025-05-17,46205.7,Late,High income,1,1,0
3,Nancy,Peters,Female,1972-04-02,Jessicamouth,Tennessee,Self-Employed,150282.0,2025-04-10,618,574604.0,23.32,48,Default,2024-10-28,13128,2026-01-26,2025-05-14,2046.68,On-Time,High income,1,1,0
7,Barry,Estrada,Male,1976-06-05,Port Kennethburgh,Arizona,Freelancer,93363.0,2025-03-01,12738,509268.0,12.72,36,Active,2024-05-28,6793,2025-07-27,2025-07-25,9669.69,Missed,Middle income,0,1,1
7,Barry,Estrada,Male,1976-06-05,Port Kennethburgh,Arizona,Freelancer,93363.0,2025-03-01,12738,509268.0,12.72,36,Active,2024-05-28,8412,2025-10-18,2025-05-12,28275.89,Late,Middle income,0,1,0
7,Barry,Estrada,Male,1976-06-05,Port Kennethburgh,Arizona,Freelancer,93363.0,2025-03-01,12738,509268.0,12.72,36,Active,2024-05-28,12869,2026-02-26,2025-12-10,27763.93,Missed,Middle income,0,1,1
7,Barry,Estrada,Male,1976-06-05,Port Kennethburgh,Arizona,Freelancer,93363.0,2025-03-01,12738,509268.0,12.72,36,Active,2024-05-28,12895,2026-04-02,2025-08-19,35433.02,Late,Middle income,0,1,0
8,Colleen,Silva,Male,1970-09-16,Lake Wendyport,Texas,Bussiness,88001.0,2023-12-01,9907,882381.0,9.6,12,Closed,2025-12-22,6398,2025-08-15,2025-10-01,22980.65,Missed,Middle income,0,1,1
8,Colleen,Silva,Male,1970-09-16,Lake Wendyport,Texas,Bussiness,88001.0,2023-12-01,9907,882381.0,9.6,12,Closed,2025-12-22,9286,2026-01-31,2025-08-14,29867.59,Late,Middle income,0,1,0
8,Colleen,Silva,Male,1970-09-16,Lake Wendyport,Texas,Bussiness,88001.0,2023-12-01,9907,882381.0,9.6,12,Closed,2025-12-22,17009,2026-03-29,2025-08-24,26489.24,Late,Middle income,0,1,0
9,Michael,Pierce,Male,2000-12-21,West Jennifermouth,Vermont,Bussiness,143951.0,2025-02-16,9799,767443.0,17.09,24,Active,2026-03-19,679,2026-02-20,2025-07-09,6061.79,On-Time,High income,0,1,0
9,Michael,Pierce,Male,2000-12-21,West Jennifermouth,Vermont,Bussiness,143951.0,2025-02-16,9799,767443.0,17.09,24,Active,2026-03-19,17221,2026-03-28,2025-12-01,41418.37,Missed,High income,0,1,1
10,Amy,Murphy,Female,1999-05-21,New Ericview,Oregon,Bussiness,48274.0,2025-02-28,9286,90141.0,15.03,24,Active,2026-04-04,11757,2025-08-14,2026-03-10,7990.81,On-Time,Low income,0,0,0
10,Amy,Murphy,Female,1999-05-21,New Ericview,Oregon,Bussiness,48274.0,2025-02-28,9286,90141.0,15.03,24,Active,2026-04-04,14968,2026-04-26,2026-02-25,1424.77,Late,Low income,0,0,0
10,Amy,Murphy,Female,1999-05-21,New Ericview,Oregon,Bussiness,48274.0,2025-02-28,12544,250630.0,16.65,24,Default,2025-01-22,1970,2026-01-29,2025-07-08,6347.67,Missed,Low income,1,0,1
12,Amber,Mathews,Male,1982-09-01,South James,Virginia,Bussiness,75544.0,2024-08-01,6807,660483.0,9.23,36,Active,2025-08-10,7690,2026-04-05,2025-06-24,37697.63,Missed,Middle income,0,1,1
12,Amber,Mathews,Male,1982-09-01,South James,Virginia,Bussiness,75544.0,2024-08-01,6807,660483.0,9.23,36,Active,2025-08-10,14352,2025-10-14,2025-08-13,27791.98,Missed,Middle income,0,1,1
12,Amber,Mathews,Male,1982-09-01,South James,Virginia,Bussiness,75544.0,2024-08-01,8819,428802.0,12.68,12,Closed,2025-08-27,1417,2026-03-11,2026-01-16,4231.12,Late,Middle income,0,0,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,581,472800.0,17.06,24,Closed,2024-08-19,18548,2025-07-31,2026-03-18,25160.56,On-Time,High income,0,0,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,2819,658926.0,19.67,24,Default,2025-08-08,6287,2026-02-08,2025-11-09,23705.49,On-Time,High income,1,1,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,2819,658926.0,19.67,24,Default,2025-08-08,18652,2026-01-18,2025-06-30,8243.99,Late,High income,1,1,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,9045,691107.0,22.6,6,Default,2024-06-28,4335,2025-08-23,2026-04-28,42890.09,On-Time,High income,1,1,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,9045,691107.0,22.6,6,Default,2024-06-28,8521,2025-08-26,2025-11-02,29440.37,On-Time,High income,1,1,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,14353,918518.0,8.44,12,Active,2025-10-20,2034,2026-01-09,2025-08-13,33932.01,Missed,High income,0,1,1
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,14353,918518.0,8.44,12,Active,2025-10-20,7169,2026-01-08,2025-08-06,16502.23,Missed,High income,0,1,1
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,14353,918518.0,8.44,12,Active,2025-10-20,12438,2026-03-14,2025-05-10,15059.85,On-Time,High income,0,1,0
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964.0,2024-01-21,14353,918518.0,8.44,12,Active,2025-10-20,14202,2025-05-20,2025-06-16,6958.87,Late,High income,0,1,0
14,Mark,Bridges,Female,2003-01-31,North Brandonfurt,Georgia,Freelancer,173643.0,2024-10-21,4710,755822.0,18.11,6,Default,2024-08-10,15430,2026-01-17,2026-01-05,18251.71,Missed,High income,1,1,1
15,Catherine,Mitchell,Female,1971-08-05,Mckeetown,North Carolina,Salaried,98464.0,2023-07-19,1855,721348.0,22.52,48,Default,2024-12-03,7809,2026-05-04,2025-08-08,41923.12,Missed,Middle income,1,1,1
15,Catherine,Mitchell,Female,1971-08-05,Mckeetown,North Carolina,Salaried,98464.0,2023-07-19,1855,721348.0,22.52,48,Default,2024-12-03,8946,2025-12-20,2025-10-21,1816.43,Late,Middle income,1,1,0
15,Catherine,Mitchell,Female,1971-08-05,Mckeetown,North Carolina,Salaried,98464.0,2023-07-19,1855,721348.0,22.52,48,Default,2024-12-03,19185,2026-03-26,2025-08-16,45818.11,Late,Middle income,1,1,0
16,Alicia,Cantu,Female,1974-12-16,Petersonmouth,Michigan,Salaried,45257.0,2024-08-13,8024,203651.0,13.88,48,Default,2025-02-15,9249,2025-05-18,2026-01-22,35312.61,Missed,Low income,1,0,1
16,Alicia,Cantu,Female,1974-12-16,Petersonmouth,Michigan,Salaried,45257.0,2024-08-13,8024,203651.0,13.88,48,Default,2025-02-15,12504,2025-11-03,2026-03-10,15374.01,On-Time,Low income,1,0,0
20,Carolyn,Gill,Male,1982-09-28,Lake Reneeton,Michigan,Freelancer,101862.0,2024-06-07,1460,724509.0,9.92,36,Active,2024-10-30,19177,2026-02-11,2025-06-15,29021.62,Missed,High income,0,1,1
20,Carolyn,Gill,Male,1982-09-28,Lake Reneeton,Michigan,Freelancer,101862.0,2024-06-07,2287,357633.0,19.17,12,Default,2025-03-14,4195,2026-04-19,2025-11-30,46067.7,Late,High income,1,0,0
20,Carolyn,Gill,Male,1982-09-28,Lake Reneeton,Michigan,Freelancer,101862.0,2024-06-07,2287,357633.0,19.17,12,Default,2025-03-14,18619,2025-06-04,2026-03-26,14874.22,Late,High income,1,0,0
21,Deborah,Evans,Male,1987-01-15,Phillipsport,Texas,Bussiness,179443.0,2024-06-22,7740,701346.0,9.96,12,Closed,2026-04-04,9460,2025-08-05,2025-07-21,3496.57,Late,High income,0,1,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,4636,374328.0,17.64,36,Default,2025-03-30,3714,2025-11-05,2025-05-11,49607.65,Late,Low income,1,0,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,4636,374328.0,17.64,36,Default,2025-03-30,11643,2025-10-31,2025-11-27,7173.73,Late,Low income,1,0,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,4636,374328.0,17.64,36,Default,2025-03-30,14678,2025-12-17,2025-11-16,41116.78,Late,Low income,1,0,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,7378,764253.0,19.95,6,Closed,2024-06-13,7283,2026-04-20,2025-11-23,46562.12,On-Time,Low income,0,1,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,7378,764253.0,19.95,6,Closed,2024-06-13,19624,2026-02-19,2025-09-08,21204.14,Late,Low income,0,1,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,14702,703818.0,10.94,36,Closed,2025-11-28,13785,2026-02-28,2025-11-01,13074.69,On-Time,Low income,0,1,0
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157.0,2025-08-25,14702,703818.0,10.94,36,Closed,2025-11-28,16741,2025-10-31,2025-09-25,38851.01,Missed,Low income,0,1,1
24,Kelsey,Robinson,Male,1973-11-24,Darinport,Wisconsin,Freelancer,50578.0,2024-12-20,13457,927403.0,8.9,48,Default,2025-12-22,6421,2025-12-07,2026-02-20,39723.69,Late,Middle income,1,1,0
24,Kelsey,Robinson,Male,1973-11-24,Darinport,Wisconsin,Freelancer,50578.0,2024-12-20,13457,927403.0,8.9,48,Default,2025-12-22,19008,2026-01-07,2026-02-28,14879.03,On-Time,Middle income,1,1,0
25,Samantha,Ward,Female,1968-07-06,North Jennifer,Nebraska,Salaried,142462.0,2025-03-04,7866,161772.0,16.37,24,Active,2025-08-09,7366,2025-09-19,2025-12-22,41063.39,Missed,High income,0,0,1
25,Samantha,Ward,Female,1968-07-06,North Jennifer,Nebraska,Salaried,142462.0,2025-03-04,7866,161772.0,16.37,24,Active,2025-08-09,14191,2025-06-29,2025-12-28,22102.3,Late,High income,0,0,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,11680,543634.0,13.08,12,Active,2025-03-23,6733,2025-05-24,2025-11-23,1306.2,Late,High income,0,1,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,11680,543634.0,13.08,12,Active,2025-03-23,16767,2026-01-26,2026-02-22,7008.65,Late,High income,0,1,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12108,234624.0,9.53,24,Closed,2025-03-04,5556,2025-07-18,2025-10-12,16256.82,Missed,High income,0,0,1
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12108,234624.0,9.53,24,Closed,2025-03-04,5662,2025-09-09,2025-08-07,28209.57,Missed,High income,0,0,1
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12108,234624.0,9.53,24,Closed,2025-03-04,16597,2025-11-17,2025-05-10,14361.27,Late,High income,0,0,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12332,916116.0,14.88,6,Closed,2025-12-06,2868,2025-12-19,2025-10-21,41027.92,Late,High income,0,1,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12332,916116.0,14.88,6,Closed,2025-12-06,14902,2026-01-18,2026-02-15,20769.1,Missed,High income,0,1,1
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,12332,916116.0,14.88,6,Closed,2025-12-06,16229,2025-09-21,2025-08-22,22811.77,Late,High income,0,1,0
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646.0,2024-08-22,14544,850362.0,23.38,6,Default,2025-11-09,9684,2025-07-05,2026-04-30,33840.72,Late,High income,1,1,0
28,John,Jones,Male,1980-01-17,Burtonville,Louisiana,Freelancer,34555.0,2024-05-04,9453,938477.0,23.9,24,Active,2024-11-14,5352,2025-05-18,2025-07-26,22716.13,Missed,Low income,0,1,1
28,John,Jones,Male,1980-01-17,Burtonville,Louisiana,Freelancer,34555.0,2024-05-04,9453,938477.0,23.9,24,Active,2024-11-14,16979,2025-06-17,2026-01-16,34131.02,On-Time,Low income,0,1,0
29,Margaret,Cunningham,Female,1983-05-29,Lake Catherine,Indiana,Freelancer,152072.0,2023-11-14,11093,151300.0,14.23,12,Active,2025-04-30,7288,2026-03-26,2025-08-27,34690.09,Late,High income,0,0,0
