customer_id,first_name,last_name,gender,date_of_birth,city,state,employment_type,monthly_income,signup_date
1,Larry,Keith,Female,1987-12-15,East Megan,Illinois,Freelancer,62011,2024-10-31
2,Jill,Bell,Female,1986-12-16,Buchananmouth,South Carolina,Bussiness,76108,2023-08-29
3,Nancy,Peters,Female,1972-04-02,Jessicamouth,Tennessee,Self-Employed,150282,2025-04-10
4,Alicia,Thompson,Female,2000-01-18,Lake James,Arizona,Salaried,142116,2025-01-01
5,Brenda,Simmons,Female,1986-05-10,New Danny,Delaware,Bussiness,91268,2024-10-17
6,Jonathan,Moreno,Male,1992-06-06,East Kevinborough,Rhode Island,Salaried,147583,2025-03-20
7,Barry,Estrada,Male,1976-06-05,Port Kennethburgh,Arizona,Freelancer,93363,2025-03-01
8,Colleen,Silva,Male,1970-09-16,Lake Wendyport,Texas,Bussiness,88001,2023-12-01
9,Michael,Pierce,Male,2000-12-21,West Jennifermouth,Vermont,Bussiness,143951,2025-02-16
10,Amy,Murphy,Female,1999-05-21,New Ericview,Oregon,Bussiness,48274,2025-02-28
11,Rachel,Schroeder,Female,1976-09-26,Lake Deniseside,Oregon,Self-Employed,179057,2023-11-11
12,Amber,Mathews,Male,1982-09-01,South James,Virginia,Bussiness,75544,2024-08-01
13,Alejandra,Parker,Female,2001-01-27,Brandishire,Utah,Salaried,114964,2024-01-21
14,Mark,Bridges,Female,2003-01-31,North Brandonfurt,Georgia,Freelancer,173643,2024-10-21
15,Catherine,Mitchell,Female,1971-08-05,Mckeetown,North Carolina,Salaried,98464,2023-07-19
16,Alicia,Cantu,Female,1974-12-16,Petersonmouth,Michigan,Salaried,45257,2024-08-13
17,Natasha,Richardson,Female,1978-02-09,New Danielville,Maryland,Freelancer,38221,2024-11-16
18,Stephanie,Joyce,Male,1970-04-01,Laurenfurt,Arizona,Bussiness,169597,2024-12-16
19,Stephanie,Moore,Female,1993-09-28,East Carol,Delaware,Freelancer,127854,2024-03-22
20,Carolyn,Gill,Male,1982-09-28,Lake Reneeton,Michigan,Freelancer,101862,2024-06-07
21,Deborah,Evans,Male,1987-01-15,Phillipsport,Texas,Bussiness,179443,2024-06-22
22,Angie,Bright,Female,1998-01-31,Angelatown,Idaho,Salaried,42157,2025-08-25
23,Melissa,Chapman,Female,1988-07-22,New Ashley,Delaware,Self-Employed,130921,2026-04-01
24,Kelsey,Robinson,Male,1973-11-24,Darinport,Wisconsin,Freelancer,50578,2024-12-20
25,Samantha,Ward,Female,1968-07-06,North Jennifer,Nebraska,Salaried,142462,2025-03-04
26,Austin,Garcia,Male,1992-04-07,New Michaelport,Alaska,Freelancer,98572,2024-02-06
27,Jesus,Riley,Female,1988-10-03,Leefurt,Florida,Salaried,134646,2024-08-22
28,John,Jones,Male,1980-01-17,Burtonville,Louisiana,Freelancer,34555,2024-05-04
